action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,ligand_efficiency_bei,ligand_efficiency_le,ligand_efficiency_lle,ligand_efficiency_sei,ligand_efficiency,action_type_action_type,action_type_description,action_type_parent_type
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7744916,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,C=C(C)C1(O)OC(=O)C=C1OC,,,CHEMBL1909046,,,,CHEMBL495778,PENICILLIC ACID,CHEMBL495778,,0,,1540036,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7745882,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,CC(O)CO,,,CHEMBL1909046,,,,CHEMBL286398,PROPYLENE GLYCOL,CHEMBL286398,,0,,1540093,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7745974,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,,,CHEMBL1909046,,,,CHEMBL7568,QUINACRINE,CHEMBL7568,,0,,1540101,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7746752,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,Cc1ccccc1C(OCCN(C)C)c1ccccc1,,,CHEMBL1909046,,,,CHEMBL900,ORPHENADRINE,CHEMBL900,,0,,1540013,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7747031,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,CNCCCC12CCC(c3ccccc31)c1ccccc12,,,CHEMBL1909046,,,,CHEMBL21731,MAPROTILINE,CHEMBL21731,,0,,1539908,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7747135,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,Cc1cccc(Nc2ccccc2C(=O)O)c1C,,,CHEMBL1909046,,,,CHEMBL686,MEFENAMIC ACID,CHEMBL686,,0,,1539916,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7747248,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,O=S(=O)([O-])CCS.[Na+],,,CHEMBL1909046,,,,CHEMBL975,MESNA,CHEMBL1098319,,0,,1539924,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7747333,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,COc1c2occc2cc2ccc(=O)oc12,,,CHEMBL1909046,,,,CHEMBL416,METHOXSALEN,CHEMBL416,,0,,1539932,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7747450,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,,,CHEMBL1909046,,,,CHEMBL1065,METHYSERGIDE,CHEMBL1065,,0,,1539940,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7747574,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,Cc1cccc(C)c1OCC(C)N,,,CHEMBL1909046,,,,CHEMBL558,MEXILETINE,CHEMBL558,,0,,1539948,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
